experiment,exploration_steps,terminal_pipeline_id,within_lookup,lookup_rank,lookup_score,exploration_lookup
11,2,345fe715-5f40-44ec-bb50-de0c7fc2647e,False,,0.0,291
11,3,345fe715-5f40-44ec-bb50-de0c7fc2647e,False,,0.0,291
11,4,345fe715-5f40-44ec-bb50-de0c7fc2647e,False,,0.0,291
12,1,c159ec54-4cd8-46e3-a3b5-1fd029f7eb09,False,,0.0,304
12,2,c159ec54-4cd8-46e3-a3b5-1fd029f7eb09,False,,0.0,265
12,3,c159ec54-4cd8-46e3-a3b5-1fd029f7eb09,False,,0.0,209
12,4,c159ec54-4cd8-46e3-a3b5-1fd029f7eb09,False,,0.0,191
13,1,89ecbef1-bceb-40a9-8640-e9b8610568db,False,,0.0,264
13,2,89ecbef1-bceb-40a9-8640-e9b8610568db,False,,0.0,264
13,3,89ecbef1-bceb-40a9-8640-e9b8610568db,False,,0.0,244
13,4,89ecbef1-bceb-40a9-8640-e9b8610568db,False,,0.0,238
14,1,6b9f05e4-5f94-4c88-ac57-19deab43d89a,False,,0.0,297
14,2,6b9f05e4-5f94-4c88-ac57-19deab43d89a,False,,0.0,250
14,3,6b9f05e4-5f94-4c88-ac57-19deab43d89a,False,,0.0,265
14,4,6b9f05e4-5f94-4c88-ac57-19deab43d89a,False,,0.0,265
15,1,b40d98f0-9e09-4852-b3c9-2d4605ee019b,False,,0.0,384
15,2,b40d98f0-9e09-4852-b3c9-2d4605ee019b,False,,0.0,294
15,3,b40d98f0-9e09-4852-b3c9-2d4605ee019b,False,,0.0,302
15,4,b40d98f0-9e09-4852-b3c9-2d4605ee019b,False,,0.0,393
16,1,613d4243-0311-4fa8-8d87-fc43e016b829,True,237.0,0.3198847262247838,347
16,2,613d4243-0311-4fa8-8d87-fc43e016b829,True,219.0,0.5331905781584583,467
16,3,613d4243-0311-4fa8-8d87-fc43e016b829,False,,0.0,408
16,4,613d4243-0311-4fa8-8d87-fc43e016b829,False,,0.0,418
17,1,d84337e6-9058-4bde-a987-35a807c49d30,False,,0.0,278
