experiment,exploration_steps,type_of_similarity,partial_pipeline_id,min_to_terminal_similarity,max_to_terminal_similarity,explanation_satisfied
8,6,cosine,03fddbdd-eb6f-44e9-9abf-bfef64497551,0.9915440145697687,0.6288936309295127,True
8,6,euclidian,03fddbdd-eb6f-44e9-9abf-bfef64497551,0.13759160444924448,0.8635335422766375,False
8,7,manhattan,03fddbdd-eb6f-44e9-9abf-bfef64497551,4.205825401198126,26.940543754896225,False
8,7,cosine,03fddbdd-eb6f-44e9-9abf-bfef64497551,0.9884851980690174,0.6296374857321729,True
8,7,euclidian,03fddbdd-eb6f-44e9-9abf-bfef64497551,0.13923982572822388,0.8585087976215541,False
9,1,manhattan,051b7309-8383-4dfe-a71e-6bf0f2745d00,5.828762150405964,26.262183300595552,False
9,1,cosine,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.9872478856175082,0.6294573976785361,True
9,1,euclidian,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.11660262236509301,0.8481806242049647,False
9,2,manhattan,051b7309-8383-4dfe-a71e-6bf0f2745d00,5.75035586799504,26.75599544627312,False
9,2,cosine,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.9887994852895702,0.643438171574413,True
9,2,euclidian,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.14447780301301166,0.8507916507344454,False
9,3,manhattan,051b7309-8383-4dfe-a71e-6bf0f2745d00,3.991873932370254,26.559461054639996,False
9,3,cosine,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.983422045834837,0.6319346404923413,True
9,3,euclidian,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.20141266784987774,0.8519435490018197,False
9,4,manhattan,051b7309-8383-4dfe-a71e-6bf0f2745d00,5.777790482147793,26.311461987983876,False
9,4,cosine,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.9822649906057147,0.6315629351450333,True
9,4,euclidian,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.16906088020992846,0.8637087466619604,False
9,5,manhattan,051b7309-8383-4dfe-a71e-6bf0f2745d00,3.5640137155554044,26.435983593361982,False
9,5,cosine,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.9838811133523883,0.6441717925339405,True
9,5,euclidian,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.1794145991934796,0.8610320365137318,False
9,6,manhattan,051b7309-8383-4dfe-a71e-6bf0f2745d00,5.779789728454034,26.182629225202618,False
9,6,cosine,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.9776458945149263,0.6339766421974873,True
9,6,euclidian,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.17973533493189478,0.8606048000730336,False
9,7,manhattan,051b7309-8383-4dfe-a71e-6bf0f2745d00,5.97396046497488,26.272023639934105,False
9,7,cosine,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.981327231787645,0.6377856052567712,True
9,7,euclidian,051b7309-8383-4dfe-a71e-6bf0f2745d00,0.1851834286279454,0.8589095165958522,False
11,1,manhattan,04792f9a-ba4c-42e7-97ed-5e9bc476b527,5.1347439315341035,26.545637238927384,False
11,1,cosine,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.9864117145507414,0.6330869091195495,True
11,1,euclidian,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.1690035404294637,0.8562831447397129,False
11,2,manhattan,04792f9a-ba4c-42e7-97ed-5e9bc476b527,5.635266950140476,26.51969395148876,False
11,2,cosine,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.9839479777641734,0.6357641012163345,True
11,2,euclidian,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.8543518968123031,0.8543518968123031,False
11,3,manhattan,04792f9a-ba4c-42e7-97ed-5e9bc476b527,5.334036581865121,26.53446837169963,False
11,3,cosine,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.9855696080683053,0.6366407495355566,True
11,3,euclidian,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.17748524697454757,0.8586425173466963,False
11,4,manhattan,04792f9a-ba4c-42e7-97ed-5e9bc476b527,5.775773831996048,26.691856187071153,False
11,4,cosine,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.6399798598299331,0.6399689092110554,True
11,4,euclidian,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.8506048988593684,0.8506048988593684,False
11,5,manhattan,04792f9a-ba4c-42e7-97ed-5e9bc476b527,5.831743518076564,26.472673100221073,False
11,5,cosine,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.9835148854764706,0.6361231276337298,True
11,5,euclidian,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.1890875568918675,0.8529601693856589,False
11,6,manhattan,04792f9a-ba4c-42e7-97ed-5e9bc476b527,5.828227406847873,26.435243960395837,False
11,6,cosine,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.9836790438314484,0.6330406104556272,True
11,6,euclidian,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.18093011219747684,0.8510842229161205,False
11,7,manhattan,04792f9a-ba4c-42e7-97ed-5e9bc476b527,5.79900271502629,26.559533150003062,False
11,7,cosine,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.9838196506013454,0.6401000114883829,True
11,7,euclidian,04792f9a-ba4c-42e7-97ed-5e9bc476b527,0.18047616369534147,0.8470689971187749,False
12,1,manhattan,001252ee-d8db-4b2b-bd63-3199222d7c6f,4.5242591634255405,4.981458842684788,False
12,1,cosine,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.9884458440393519,0.9875022267217481,True
12,1,euclidian,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.14417564496858157,0.15975266209751438,False
12,2,manhattan,001252ee-d8db-4b2b-bd63-3199222d7c6f,4.940699329174095,4.990701437649477,False
12,2,cosine,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.9874048389860854,0.9872554010590096,True
12,2,euclidian,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.1581139069911907,0.15849585464058272,False
12,3,manhattan,001252ee-d8db-4b2b-bd63-3199222d7c6f,4.59725702992273,4.9568490583624225,False
12,3,cosine,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.9874541019781518,0.9873187105373591,True
12,3,euclidian,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.14428244792495798,0.15585380606593338,False
12,4,manhattan,001252ee-d8db-4b2b-bd63-3199222d7c6f,4.7490716609599986,5.109069519352488,False
12,4,cosine,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.9874165319391889,0.9880229459111354,False
